bin_uri	Americas	Europe	Asia	NA	Oceania	Africa
BOLD:AAC5017	1	0	0	0	0	0
BOLD:AAA1542	1	1	1	1	1	1
BOLD:AAC5231	1	1	1	1	0	0
BOLD:AAC6751	1	0	0	0	0	0
BOLD:AAC5230	1	0	0	1	0	0
BOLD:AAF0792	1	0	0	0	0	0
BOLD:ADC5726	0	1	1	0	0	0
BOLD:ADM0647	0	1	1	1	0	0
BOLD:ADK6164	0	0	1	1	0	1
BOLD:AGO0348	0	0	1	0	0	0
BOLD:AED1264	1	0	0	1	0	0
BOLD:ADK6525	0	0	0	0	0	1
BOLD:ADW2121	0	0	0	0	0	1
BOLD:ACR0824	0	0	1	0	0	1
BOLD:ADW1234	0	0	0	0	0	1
BOLD:ADJ8649	0	0	0	0	0	1
BOLD:ACW0143	0	0	1	0	0	0
BOLD:ACQ4177	1	0	0	0	0	0
BOLD:ADC5750	0	0	1	0	0	0
BOLD:ADC5958	0	0	1	0	0	0
BOLD:ADC8514	0	0	1	0	0	0
BOLD:ADH8421	1	0	0	0	0	0
BOLD:ACS3525	1	0	0	0	0	0
BOLD:ADC8199	0	0	1	0	0	0
